Week,Bitcoin: (United States),Cryptocurrency: (United States)
6/7/2020,7,2
6/14/2020,6,1
6/21/2020,6,1
6/28/2020,6,1
7/5/2020,6,2
7/12/2020,7,2
7/19/2020,6,2
7/26/2020,10,2
8/2/2020,9,2
8/9/2020,8,3
8/16/2020,8,2
8/23/2020,6,2
8/30/2020,7,2
9/6/2020,6,2
9/13/2020,5,2
9/20/2020,5,2
9/27/2020,5,1
10/4/2020,5,1
10/11/2020,6,1
10/18/2020,8,2
10/25/2020,9,2
11/1/2020,9,1
11/8/2020,10,2
11/15/2020,15,2
11/22/2020,16,3
11/29/2020,15,3
12/6/2020,11,3
12/13/2020,19,3
12/20/2020,18,3
12/27/2020,27,4
1/3/2021,45,7
1/10/2021,44,6
1/17/2021,27,5
1/24/2021,26,10
1/31/2021,23,11
2/7/2021,39,13
2/14/2021,38,11
2/21/2021,40,10
2/28/2021,27,7
3/7/2021,26,7
3/14/2021,26,8
3/21/2021,23,7
3/28/2021,23,8
4/4/2021,20,9
4/11/2021,27,17
4/18/2021,34,25
4/25/2021,23,15
5/2/2021,22,27
5/9/2021,29,33
5/16/2021,46,25
5/23/2021,32,17
5/30/2021,22,12
6/6/2021,24,10
6/13/2021,19,10
6/20/2021,23,10
6/27/2021,16,7
7/4/2021,13,6
7/11/2021,13,6
7/18/2021,15,6
7/25/2021,18,6
8/1/2021,15,6
