Date,principal component 1,principal component 2,principal component 3,principal component 4
2019-06-16,-0.23669346819199977,0.6602268826797194,1.7137518888080159,-1.014178270671734
2019-06-23,-0.2755269783545578,0.6571614730765596,2.2846164397914785,-0.4226064386849679
2019-06-30,-0.5885970414582794,0.23612289245360663,1.270855638555844,-0.8388188657778135
2019-07-07,-0.89539640771679,-0.012914025213223355,0.9299077352448996,-0.7019747673800677
2019-07-14,-1.3959083090623055,-0.0057623735852634465,0.13051111711557833,-0.5025990978289644
2019-07-21,-1.4022550872240114,0.06055073967987368,0.6230121140664242,-0.43402189001442315
2019-07-28,-1.4037553677428207,-0.020870185907111632,0.3015537108657671,-0.5896569562316375
2019-08-04,-1.3480504682698777,-0.3160881137740344,0.7799070169328736,-0.5633868419903946
2019-08-11,-1.6037062617448137,-0.2908738291659779,0.7529893106306622,-0.37971606884367404
2019-08-18,-1.660930054922795,-0.3372422103285114,0.4854806379290001,-0.5059732906950893
2019-08-25,-1.8654743914717093,-0.3010946904460639,0.32136504195942533,-0.4253086228681015
2019-09-01,-1.8570291422074676,-0.3388491157590755,0.06384855722370367,-0.5859741744716038
2019-09-08,-1.7945227983463967,-0.2757119894522732,0.39830013583600127,-0.6206051771030114
2019-09-15,-1.6828686709298284,-0.053759941973223736,0.3055582071861864,-0.5467678026722057
2019-09-22,-2.268764697177858,-0.007794615646275563,-0.60387338391943,-0.29133712597128114
2019-09-29,-2.2739094579307397,-0.07299420793530817,-0.6224943741391056,-0.3569214379908759
2019-10-06,-2.176918326595815,-0.013309253169645433,-0.6410933879086868,-0.39439172371236997
2019-10-13,-2.1896136418279193,-0.17190234858555528,-0.36457704215246295,-0.34175446398995774
2019-10-20,-2.1343928947225135,-0.26291073014962124,-0.22419830574033425,-0.37795473516155886
2019-10-27,-1.9266818355786237,-0.14352453083936376,-0.18107421297281934,-0.437393973166917
2019-11-03,-1.8422790884857716,-0.07899078127561801,0.03961194955128562,-0.3746423324826446
2019-11-10,-1.9525801465846453,0.21435957892756052,-0.20650184862617954,-0.13016813612261205
2019-11-17,-2.3604430242186556,0.48421886604633646,-1.1756936924633854,0.01320269511702048
2019-11-24,-2.344539930752561,-0.313101215598191,-0.4353546121224313,-0.3301031937601621
2019-12-01,-2.4071656671435715,-0.09639175398787035,-0.6814246314708735,-0.24880207359651624
2019-12-08,-2.4656444237257937,-0.036373261445713144,-0.7386122364296893,-0.16560335807541776
2019-12-15,-2.5908623742447356,-0.1220723361607167,-0.5279097139103769,-0.06660069644280318
2019-12-22,-2.59434768231366,0.10837769600941421,-0.7841543467374558,-0.05389607129931939
2019-12-29,-2.542753202431212,0.0871122386686814,-0.4267756218541939,0.01761611200784301
2020-01-05,-2.272577025007835,-0.24572575129609325,-0.09136468974849987,-0.3186912167891677
2020-01-12,-1.8727685670748493,-0.08061321969114141,0.4713286380899318,-0.4693184920666477
2020-01-19,-1.8823903627372625,-0.004608281439760159,0.46378048278705103,-0.3915905669580163
2020-01-26,-1.9729526405486526,3.194195551972306,-0.02532308693022177,1.9679071707917386
2020-02-02,-1.628633966575576,2.83287726829003,0.45400120206943445,1.5747589130413495
2020-02-09,-1.2493392792590452,2.1822144897744393,0.7818563230109491,0.9251890055597505
